index,value,unit
2019-09-28T17:42:46.27799434Z,0.0,W
2019-09-28T17:42:47.278121258Z,0.0,W
2019-09-28T17:42:48.278684253Z,0.0,W
2019-09-28T17:42:49.27806396Z,0.0,W
2019-09-28T17:42:50.278143494Z,3.43,W
2019-09-28T17:42:51.278124985Z,17.1,W
2019-09-28T17:42:52.27817818Z,26.92,W
2019-09-28T17:42:53.278210582Z,26.04,W
2019-09-28T17:42:54.278230189Z,25.16,W
2019-09-28T17:42:55.278245127Z,24.94,W
2019-09-28T17:42:56.278367396Z,25.01,W
2019-09-28T17:42:57.278257623Z,25.0,W
2019-09-28T17:42:58.278278055Z,24.92,W
2019-09-28T17:42:59.278410567Z,24.900000000000002,W
2019-09-28T17:43:00.278450037Z,25.16,W
2019-09-28T17:43:01.278451213Z,25.34,W
2019-09-28T17:43:02.278443096Z,25.240000000000002,W
2019-09-28T17:43:03.27844906Z,25.12,W
2019-09-28T17:43:04.27859323Z,25.09,W
2019-09-28T17:43:05.278501484Z,24.95,W
2019-09-28T17:43:06.278507194Z,24.94,W
2019-09-28T17:43:07.278614735Z,25.080000000000002,W
2019-09-28T17:43:08.27852561Z,25.21,W
2019-09-28T17:43:09.278514441Z,25.0,W
2019-09-28T17:43:10.278658853Z,24.91,W
2019-09-28T17:43:11.278751849Z,24.96,W
2019-09-28T17:43:12.278685677Z,24.89,W
2019-09-28T17:43:13.278679463Z,24.810000000000002,W
2019-09-28T17:43:14.278735456Z,24.86,W
2019-09-28T17:43:15.278717657Z,25.060000000000002,W
2019-09-28T17:43:16.278745816Z,24.92,W
2019-09-28T17:43:17.278726557Z,24.84,W
2019-09-28T17:43:18.278804006Z,24.92,W
2019-09-28T17:43:19.278845663Z,24.89,W
2019-09-28T17:43:20.279484025Z,25.02,W
2019-09-28T17:43:21.278896227Z,24.94,W
2019-09-28T17:43:22.278960259Z,24.8,W
2019-09-28T17:43:23.278856125Z,24.73,W
2019-09-28T17:43:24.279154322Z,24.71,W
2019-09-28T17:43:25.27899473Z,24.84,W
2019-09-28T17:43:26.279777465Z,25.0,W
2019-09-28T17:43:27.278985295Z,24.89,W
2019-09-28T17:43:28.279102577Z,24.75,W
2019-09-28T17:43:29.279092819Z,24.72,W
2019-09-28T17:43:30.27912977Z,24.77,W
2019-09-28T17:43:31.279094055Z,24.91,W
2019-09-28T17:43:32.279881543Z,24.91,W
2019-09-28T17:43:33.279149127Z,24.72,W
2019-09-28T17:43:34.279300663Z,24.66,W
2019-09-28T17:43:35.279294034Z,24.64,W
2019-09-28T17:43:36.27933274Z,24.64,W
2019-09-28T17:43:37.279912151Z,24.67,W
2019-09-28T17:43:38.279254656Z,24.69,W
2019-09-28T17:43:39.27926049Z,24.87,W
2019-09-28T17:43:40.279306409Z,24.92,W
2019-09-28T17:43:41.279327663Z,24.7,W
2019-09-28T17:43:42.279413126Z,24.62,W
2019-09-28T17:43:43.279625173Z,24.66,W
2019-09-28T17:43:44.280045553Z,24.71,W
2019-09-28T17:43:45.279465276Z,24.67,W
2019-09-28T17:43:46.280252074Z,24.560000000000002,W
2019-09-28T17:43:47.280269088Z,24.67,W
2019-09-28T17:43:48.279516069Z,24.91,W
2019-09-28T17:43:49.279502004Z,24.78,W
2019-09-28T17:43:50.279562774Z,24.63,W
2019-09-28T17:43:51.279629754Z,24.71,W
2019-09-28T17:43:52.279671945Z,24.740000000000002,W
2019-09-28T17:43:53.279599098Z,24.650000000000002,W
2019-09-28T17:43:54.279622336Z,24.52,W
2019-09-28T17:43:55.27962591Z,15.21,W
2019-09-28T17:43:56.279679444Z,2.95,W
2019-09-28T17:43:57.279770314Z,0.0,W
2019-09-28T17:43:58.279768896Z,0.0,W
