index,value,unit
2019-09-28T17:38:10.26848573Z,0.0,W
2019-09-28T17:38:11.268518492Z,0.0,W
2019-09-28T17:38:12.269188684Z,0.0,W
2019-09-28T17:38:13.268581661Z,0.0,W
2019-09-28T17:38:14.268564693Z,3.19,W
2019-09-28T17:38:15.268650275Z,15.98,W
2019-09-28T17:38:16.268617904Z,25.330000000000002,W
2019-09-28T17:38:17.268658834Z,24.84,W
2019-09-28T17:38:18.26883569Z,24.29,W
2019-09-28T17:38:19.268867843Z,24.09,W
2019-09-28T17:38:20.268864796Z,24.1,W
2019-09-28T17:38:21.268819798Z,23.98,W
2019-09-28T17:38:22.268852226Z,23.900000000000002,W
2019-09-28T17:38:23.268974455Z,23.76,W
2019-09-28T17:38:24.268959357Z,23.61,W
2019-09-28T17:38:25.272495846Z,23.61,W
2019-09-28T17:38:26.269088691Z,23.62,W
2019-09-28T17:38:27.269136871Z,23.650000000000002,W
2019-09-28T17:38:28.269180601Z,23.7,W
2019-09-28T17:38:29.269175757Z,23.73,W
2019-09-28T17:38:30.269832846Z,23.77,W
2019-09-28T17:38:31.269314474Z,23.78,W
2019-09-28T17:38:32.269272784Z,23.63,W
2019-09-28T17:38:33.269378146Z,23.56,W
2019-09-28T17:38:34.269349059Z,23.48,W
2019-09-28T17:38:35.2694804Z,23.57,W
2019-09-28T17:38:36.269457292Z,23.66,W
2019-09-28T17:38:37.269689988Z,23.56,W
2019-09-28T17:38:38.269582109Z,23.55,W
2019-09-28T17:38:39.269637908Z,23.490000000000002,W
2019-09-28T17:38:40.269597884Z,23.48,W
2019-09-28T17:38:41.269660663Z,23.57,W
2019-09-28T17:38:42.269745495Z,23.48,W
2019-09-28T17:38:43.26971538Z,23.51,W
2019-09-28T17:38:44.269866944Z,23.64,W
2019-09-28T17:38:45.269833184Z,23.62,W
2019-09-28T17:38:46.269912854Z,23.59,W
2019-09-28T17:38:47.269987328Z,23.46,W
2019-09-28T17:38:48.269988229Z,23.42,W
2019-09-28T17:38:49.27000406Z,23.490000000000002,W
2019-09-28T17:38:50.270118695Z,23.45,W
2019-09-28T17:38:51.270112258Z,23.490000000000002,W
2019-09-28T17:38:52.270190751Z,23.36,W
2019-09-28T17:38:53.270204798Z,23.25,W
2019-09-28T17:38:54.270288275Z,23.41,W
2019-09-28T17:38:55.270205431Z,23.53,W
2019-09-28T17:38:56.270247392Z,23.55,W
2019-09-28T17:38:57.270300283Z,23.46,W
2019-09-28T17:38:58.270328104Z,23.34,W
2019-09-28T17:38:59.270747358Z,23.3,W
2019-09-28T17:39:00.270558788Z,23.32,W
2019-09-28T17:39:01.270614775Z,23.28,W
2019-09-28T17:39:02.270635942Z,23.3,W
2019-09-28T17:39:03.27059554Z,23.44,W
2019-09-28T17:39:04.270660194Z,23.44,W
2019-09-28T17:39:05.271361659Z,23.48,W
2019-09-28T17:39:06.270761545Z,23.54,W
2019-09-28T17:39:07.270760868Z,23.39,W
2019-09-28T17:39:08.270807496Z,23.25,W
2019-09-28T17:39:09.270857182Z,23.240000000000002,W
2019-09-28T17:39:10.270886174Z,23.240000000000002,W
2019-09-28T17:39:11.270920722Z,23.28,W
2019-09-28T17:39:12.271548082Z,23.19,W
2019-09-28T17:39:13.270975366Z,23.19,W
2019-09-28T17:39:14.271031086Z,23.46,W
2019-09-28T17:39:15.271088988Z,23.400000000000002,W
2019-09-28T17:39:16.271113823Z,23.29,W
2019-09-28T17:39:17.27109709Z,23.26,W
2019-09-28T17:39:18.271141665Z,23.23,W
2019-09-28T17:39:19.271272173Z,23.21,W
2019-09-28T17:39:20.271279864Z,23.18,W
2019-09-28T17:39:21.271238488Z,23.36,W
2019-09-28T17:39:22.271360545Z,23.44,W
2019-09-28T17:39:23.271390786Z,23.31,W
2019-09-28T17:39:24.271480085Z,23.38,W
2019-09-28T17:39:25.271536818Z,23.31,W
2019-09-28T17:39:26.27160586Z,23.25,W
2019-09-28T17:39:27.271536959Z,23.36,W
2019-09-28T17:39:28.271506118Z,23.35,W
2019-09-28T17:39:29.271600337Z,23.27,W
2019-09-28T17:39:30.27160299Z,23.12,W
2019-09-28T17:39:31.271625202Z,23.22,W
2019-09-28T17:39:32.27180685Z,23.41,W
2019-09-28T17:39:33.271765181Z,23.21,W
2019-09-28T17:39:34.272961328Z,23.13,W
2019-09-28T17:39:35.271783523Z,23.240000000000002,W
2019-09-28T17:39:36.271893034Z,23.19,W
2019-09-28T17:39:37.272086981Z,23.22,W
2019-09-28T17:39:38.271871862Z,23.26,W
2019-09-28T17:39:39.272008054Z,23.35,W
2019-09-28T17:39:40.272041807Z,23.52,W
2019-09-28T17:39:41.27199112Z,23.580000000000002,W
2019-09-28T17:39:42.272094744Z,23.57,W
2019-09-28T17:39:43.272132804Z,23.35,W
2019-09-28T17:39:44.2721323Z,23.150000000000002,W
2019-09-28T17:39:45.272245983Z,23.150000000000002,W
2019-09-28T17:39:46.272222476Z,23.2,W
2019-09-28T17:39:47.272341531Z,23.18,W
2019-09-28T17:39:48.272337023Z,23.16,W
2019-09-28T17:39:49.272363076Z,23.23,W
2019-09-28T17:39:50.272464566Z,23.21,W
2019-09-28T17:39:51.272461993Z,23.13,W
2019-09-28T17:39:52.27321386Z,23.13,W
2019-09-28T17:39:53.272427908Z,23.27,W
2019-09-28T17:39:54.273233024Z,23.22,W
2019-09-28T17:39:55.272527322Z,23.080000000000002,W
2019-09-28T17:39:56.27254781Z,23.2,W
2019-09-28T17:39:57.272576111Z,23.22,W
2019-09-28T17:39:58.2725976Z,23.04,W
2019-09-28T17:39:59.272900153Z,23.13,W
2019-09-28T17:40:00.272746517Z,23.22,W
2019-09-28T17:40:01.27289107Z,23.09,W
2019-09-28T17:40:02.272823186Z,23.14,W
2019-09-28T17:40:03.272877491Z,23.12,W
2019-09-28T17:40:04.272899734Z,23.1,W
2019-09-28T17:40:05.272874165Z,23.21,W
2019-09-28T17:40:06.272976161Z,23.25,W
2019-09-28T17:40:07.272944595Z,23.35,W
2019-09-28T17:40:08.272998218Z,23.32,W
2019-09-28T17:40:09.273943533Z,23.330000000000002,W
2019-09-28T17:40:10.273839659Z,23.31,W
2019-09-28T17:40:11.273144473Z,23.39,W
2019-09-28T17:40:12.273260979Z,23.330000000000002,W
2019-09-28T17:40:13.273295423Z,23.16,W
2019-09-28T17:40:14.273206933Z,23.22,W
2019-09-28T17:40:15.273298007Z,23.29,W
2019-09-28T17:40:16.273245147Z,23.2,W
2019-09-28T17:40:17.273274351Z,23.04,W
2019-09-28T17:40:18.273445746Z,23.12,W
2019-09-28T17:40:19.273454956Z,23.22,W
2019-09-28T17:40:20.273460481Z,23.19,W
2019-09-28T17:40:21.274117198Z,23.12,W
2019-09-28T17:40:22.273509728Z,23.13,W
2019-09-28T17:40:23.273644826Z,23.18,W
2019-09-28T17:40:24.273542488Z,23.04,W
2019-09-28T17:40:25.273880093Z,22.94,W
2019-09-28T17:40:26.273703388Z,23.04,W
2019-09-28T17:40:27.273699249Z,23.14,W
2019-09-28T17:40:28.273742052Z,23.02,W
2019-09-28T17:40:29.273831671Z,23.03,W
2019-09-28T17:40:30.273851106Z,23.11,W
2019-09-28T17:40:31.273821484Z,23.0,W
2019-09-28T17:40:32.273960803Z,22.85,W
2019-09-28T17:40:33.273901689Z,22.89,W
2019-09-28T17:40:34.273949142Z,23.13,W
2019-09-28T17:40:35.273992287Z,23.04,W
2019-09-28T17:40:36.274026874Z,23.0,W
2019-09-28T17:40:37.273961404Z,23.17,W
2019-09-28T17:40:38.274094626Z,23.23,W
2019-09-28T17:40:39.27405829Z,23.11,W
2019-09-28T17:40:40.274690273Z,19.72,W
2019-09-28T17:40:41.274200948Z,8.32,W
2019-09-28T17:40:42.274267816Z,0.0,W
2019-09-28T17:40:43.274315752Z,0.0,W
