index,value,unit
2019-09-28T17:46:29.283089891Z,0.0,W
2019-09-28T17:46:30.28306886Z,0.0,W
2019-09-28T17:46:31.283288798Z,0.0,W
2019-09-28T17:46:32.283069838Z,0.0,W
2019-09-28T17:46:33.283849085Z,13.030000000000001,W
2019-09-28T17:46:34.283171699Z,28.88,W
2019-09-28T17:46:35.283255648Z,30.830000000000002,W
2019-09-28T17:46:36.283150697Z,29.830000000000002,W
2019-09-28T17:46:37.283217714Z,29.740000000000002,W
2019-09-28T17:46:38.28320033Z,29.59,W
2019-09-28T17:46:39.283510662Z,29.66,W
2019-09-28T17:46:40.283240724Z,29.740000000000002,W
2019-09-28T17:46:41.28395087Z,29.79,W
2019-09-28T17:46:42.283892997Z,29.79,W
2019-09-28T17:46:43.283230105Z,29.79,W
2019-09-28T17:46:44.283334049Z,29.71,W
2019-09-28T17:46:45.283382341Z,29.61,W
2019-09-28T17:46:46.283383105Z,29.71,W
2019-09-28T17:46:47.283369967Z,29.740000000000002,W
2019-09-28T17:46:48.283400425Z,29.650000000000002,W
2019-09-28T17:46:49.283391356Z,29.62,W
2019-09-28T17:46:50.284075999Z,29.61,W
2019-09-28T17:46:51.283506007Z,29.560000000000002,W
2019-09-28T17:46:52.28346523Z,29.560000000000002,W
2019-09-28T17:46:53.283494924Z,29.61,W
2019-09-28T17:46:54.283519841Z,29.5,W
2019-09-28T17:46:55.283468357Z,29.64,W
2019-09-28T17:46:56.283480594Z,29.75,W
2019-09-28T17:46:57.283578302Z,29.77,W
2019-09-28T17:46:58.283587984Z,29.62,W
2019-09-28T17:46:59.283630639Z,29.47,W
2019-09-28T17:47:00.284336506Z,29.39,W
2019-09-28T17:47:01.283555618Z,29.52,W
2019-09-28T17:47:02.28364194Z,29.68,W
2019-09-28T17:47:03.283625237Z,29.64,W
2019-09-28T17:47:04.284246497Z,29.63,W
2019-09-28T17:47:05.284247114Z,29.61,W
2019-09-28T17:47:06.283680088Z,29.69,W
2019-09-28T17:47:07.283714026Z,29.71,W
2019-09-28T17:47:08.283809561Z,29.69,W
2019-09-28T17:47:09.283726072Z,29.71,W
2019-09-28T17:47:10.28374693Z,29.67,W
2019-09-28T17:47:11.28383551Z,29.77,W
2019-09-28T17:47:12.283779565Z,29.84,W
2019-09-28T17:47:13.283878217Z,29.78,W
2019-09-28T17:47:14.283816345Z,29.75,W
2019-09-28T17:47:15.284560809Z,19.77,W
2019-09-28T17:47:16.283829643Z,4.89,W
2019-09-28T17:47:17.28387894Z,0.0,W
2019-09-28T17:47:18.283888336Z,0.0,W
