index,value,unit
2019-09-28T17:44:09.280039497Z,0.0,W
2019-09-28T17:44:10.280080868Z,0.0,W
2019-09-28T17:44:11.280021576Z,0.0,W
2019-09-28T17:44:12.280045121Z,0.0,W
2019-09-28T17:44:13.280143627Z,0.0,W
2019-09-28T17:44:14.280235096Z,0.0,W
2019-09-28T17:44:15.280132903Z,10.11,W
2019-09-28T17:44:16.280251546Z,23.62,W
2019-09-28T17:44:17.280796898Z,26.650000000000002,W
2019-09-28T17:44:18.280305722Z,25.87,W
2019-09-28T17:44:19.28023138Z,25.18,W
2019-09-28T17:44:20.280375498Z,25.0,W
2019-09-28T17:44:21.280339831Z,25.18,W
2019-09-28T17:44:22.280324251Z,25.09,W
2019-09-28T17:44:23.280356884Z,25.0,W
2019-09-28T17:44:24.281129848Z,25.060000000000002,W
2019-09-28T17:44:25.280432914Z,25.080000000000002,W
2019-09-28T17:44:26.280520311Z,25.18,W
2019-09-28T17:44:27.280472172Z,25.14,W
2019-09-28T17:44:28.280418871Z,25.05,W
2019-09-28T17:44:29.280522533Z,25.19,W
2019-09-28T17:44:30.280466034Z,25.11,W
2019-09-28T17:44:31.280609622Z,25.0,W
2019-09-28T17:44:32.280716674Z,25.23,W
2019-09-28T17:44:33.281207061Z,25.2,W
2019-09-28T17:44:34.280613922Z,25.09,W
2019-09-28T17:44:35.280687741Z,25.11,W
2019-09-28T17:44:36.280692273Z,25.01,W
2019-09-28T17:44:37.28076077Z,24.87,W
2019-09-28T17:44:38.280741856Z,24.95,W
2019-09-28T17:44:39.280751906Z,25.1,W
2019-09-28T17:44:40.28077117Z,25.150000000000002,W
2019-09-28T17:44:41.280708149Z,25.04,W
2019-09-28T17:44:42.280802341Z,24.92,W
2019-09-28T17:44:43.280800623Z,25.1,W
2019-09-28T17:44:44.280859369Z,25.35,W
2019-09-28T17:44:45.281024453Z,25.29,W
2019-09-28T17:44:46.28090788Z,25.080000000000002,W
2019-09-28T17:44:47.28092927Z,24.93,W
2019-09-28T17:44:48.280979749Z,24.88,W
2019-09-28T17:44:49.280983444Z,24.94,W
2019-09-28T17:44:50.281004853Z,25.02,W
2019-09-28T17:44:51.280974978Z,25.12,W
2019-09-28T17:44:52.281055691Z,25.150000000000002,W
2019-09-28T17:44:53.281061871Z,25.060000000000002,W
2019-09-28T17:44:54.28112564Z,18.32,W
2019-09-28T17:44:55.281701993Z,5.8500000000000005,W
2019-09-28T17:44:56.28157932Z,0.0,W
2019-09-28T17:44:57.281190489Z,0.0,W
